company_name,jd,job_tag,job_title,salary_currency,salary_length,salary_max,salary_min,skill_cata_tag,url
TITANSOFT 新加坡商鈦坦科技股份有限公司,"工作內容|||職務性質|||全職|||需求人數|||1至2人|||職類|||軟體設計工程師,電玩程式設計師,Internet程式設計師|||職務說明|||【歡迎具備112年度研發替代役資格者投遞履歷】|||你所追求的工作是什麼？是寫【程式】，還是打造會讓你感到驕傲的【產品】?|||在鈦坦，我們稱呼工程師為「產品開發者」（PD, Product Developer），我們不僅單純的寫【程式】把功能完成，並且考慮到效能、安全、使用性、維護成本、以及花費的資源與時間等因素所造成的影響。 在分析及評估所有影響要素後，達到客戶滿意的產出，才是我們對開發【產品】的要求！|||你一定聽過敏捷式開發，但是你真正了解什麼是敏捷式開發嗎？|||是很快速的把程式寫完？還是只是一堆似懂非懂的名詞？|||如果你／妳自認具備【熱忱】、【追求極致】、【樂於團隊合作】的特質，|||我們歡迎你／妳一起加入鈦坦科技的開發團隊|||在這個大家庭裡，你將會在專業敏捷開發顧問的協助下|||學習到敏捷式開發的精髓，並且實際運用敏捷開發的框架，與團隊一起打造極致的產品。|||我們堅信：沒有最好，只有更好！|||• 依據客戶的需求，開發並維護高效能、高安全性、使用者易用的網站應用程式。|||• 整合網站應用程式至資料庫導向或 API 導向的後台系統。|||• 提供 24x7 的技術支援。|||• 開發、改善所有軟體產品，並提供維護所需的所有必要文件。|||• Familiar in server side languages (C# .Net).|||• Familiar in ECMA Script, AJAX.|||• Familiar in Object-Oriented Language.|||• Familiar in SQL-92 databases (Microsoft SQL server).|||• Microsoft SQL Server 2012",軟體工程師,【採線上面談】【112年度研發替代役】Software Engineer／Programmer 軟體工程師(台北),TWD,Monthly,75000.0,50000.0,,https://meet.jobs/zh-TW/jobs/38788-%E6%8E%A1%E7%B7%9A%E4%B8%8A%E9%9D%A2%E8%AB%87112%E5%B9%B4%E5%BA%A6%E7%A0%94%E7%99%BC%E6%9B%BF%E4%BB%A3%E5%BD%B9software-engineerprogrammer-%E8%BB%9F%E9%AB%94%E5%B7%A5%E7%A8%8B%E5%B8%AB%E5%8F%B0%E5%8C%97
TITANSOFT 新加坡商鈦坦科技股份有限公司,"你所追求的工作是什麼？是寫【程式】，還是打造會讓你感到驕傲的【產品】？寫【程式】的工作，只是單純的把功能完成。 完成【程式】之外，並且考慮到效能、安全、使用性、維護成本、以及花費的資源與時間等因素所造成的影響。 在分析及評估所有影響要素後，達到客戶滿意的產出，才是我們對開發【產品】的要求！|||你一定聽過敏捷式開發，但是你真正了解什麼是敏捷式開發嗎？是很快速的把程式寫完？還是只是一堆似懂非懂的名詞？如果你/妳自認具備【熱忱】、【追求極致】、【樂於團隊合作】的特質，我們歡迎你/妳一起加入鈦坦科技的開發團隊，在這個大家庭裡，你將會在專業敏捷開發顧問的協助下學習到敏捷式開發的精髓，並且實際運用敏捷開發的框架，與團隊一起打造極致的產品。|||我們堅信：沒有最好，只有更好！|||• 年假 12 天(試用期後即可使用),服務第 3 年即可享有 14 日,第 4 年開始每 1 年增加 1 日,最多為 30 日。|||• 年享有 8 天全薪病假|||• 年薪保障至少 14 個月|||• 彈性上下班時間|||• 教育訓練與在職進修制度|||• 健康檢查費用補助|||• 享有勞退保、健保|||• 享有團保(高額投保額)|||• 享有出差旅行保險|||• 員工訓練(內部 & 外部)|||• 部門活動津貼、尾牙|||• 員工旅遊(正式員工旅遊補助 NTD 25,000!!!)|||• 生育、婚喪禮金補助|||• 電信費用(含購機)補助、交通津貼、運動津貼|||• 員工介紹獎金|||• 年度、績效獎金(視當年度營運及個人績效而定)|||※ 我們提供最激勵人心的員工福利計劃以及培訓和發展計劃,努力創造一個能讓同仁們 充分發揮潛力的環境。 除了提供領導技能與職能培訓外,也提供培訓津貼,讓我們的夥 伴能夠不斷地超越自我、完成自我。",軟體工程師,【採線上面談】Senior Software Engineer / Programmer-資深軟體工程師,TWD,Monthly,125000.0,89000.0,"MS SQL,JavaScript,JQuery,Vue.js,React.js,ASP.NET",https://meet.jobs/zh-TW/jobs/39170-%E6%8E%A1%E7%B7%9A%E4%B8%8A%E9%9D%A2%E8%AB%87senior-software-engineer-programmer-%E8%B3%87%E6%B7%B1%E8%BB%9F%E9%AB%94%E5%B7%A5%E7%A8%8B%E5%B8%AB
雲訊科技有限公司,"◆ 與業務和設計團隊一起實施新功能並重新開發現有組件，以改善用戶體驗|||◆ 與UI/UX設計師溝通，並依照 Figma 實作頁面|||◆ 當客戶或內部測試團隊提出問題時，解決新的和現有的錯誤積壓|||◆ 不斷優化現有代碼庫，以獲得最佳性能|||◆ 通過與後端團隊合作，實施建議|||◆ 使用 React.js 開發面向用戶的新功能|||◆ 構建可重用的組件和前端庫，以備將來使用|||◆ 優化組件，以在大量支持網絡的設備和瀏覽器中，實現最佳性能|||【必備條件】|||◆ 1 年至 3 年的前端開發經驗|||◆ 需熟悉 ES5/ES6、React.JS 前端框架，建構可複用的 React 組件，和設計及後端團隊協同分析並優化現有 Web 專案|||◆ 熟悉 React 的狀態管理流程並對數據管理方式有慨念 (例如 redux, context)|||◆ 處理跨瀏覽器及跨裝置(RWD)的網頁|||◆ 熟悉使用版本控制工具, 擁有 Git 版本控制實務經驗|||◆ 熟悉 Restful API|||◆ 基礎英文讀寫能力|||【加分項】|||◇ 曾使用 UI 框架 (Bootstrap, Ant Design, Tailwindcss, Material..etc) 完成需求、具備 UI 設計切版能力|||◇ 熟悉 Webpack 或其他模組打包工具|||◇ 使用 TypeScript 撰寫代碼|||◇ 有使用過 Javascript 測試框架的經驗，例如 Jest, React Testing Library, Cypress 等|||◇ 有使用過 Docker 與 CI/CD工具|||◇ 有開發 APP 經驗|||◇ 有前端效能優化經驗|||◇ 曾參與 HTML5 視播直播開發經驗|||◇ 有 Canvas/Pixi.js 的使用經驗|||◇ 瞭解網頁安全機制如 CORS, XSS, CSRF 等等|||💲具競爭力的薪資|||⏰彈性上下班時段 (9點-10點之間上班)|||😴 優於勞基法的特休假|||🎂生日假|||🛌 不補班|||週休二日、勞保健保、勞退提撥金、陪產假、產假、優於勞基法天數特休假、女性生理假、就業保險|||年終獎金/分紅、三節獎金/禮品、零食櫃咖啡吧、伙食津貼",軟體工程師,Frontend 前端工程師,TWD,Monthly,100000.0,60000.0,"React.js,ES5/ES6,redux,context,RWD,Restful API,Git",https://meet.jobs/zh-TW/jobs/39491-frontend-%E5%89%8D%E7%AB%AF%E5%B7%A5%E7%A8%8B%E5%B8%AB
雲訊科技有限公司,"◆ 與業務和設計團隊一起實施新功能並重新開發現有組件，以改善用戶體驗|||◆ 當客戶或內部測試團隊提出問題時，解決新的和現有的錯誤積壓|||◆ 不斷優化現有代碼庫，以獲得最佳性能|||◆ 通過與前端團隊合作，實施建議|||◆ 兼任部分 DevOps 工作|||【必備條件】|||◆ 熟悉 Golang程式語言|||◆ 開發及串接API (Restful API, GRPC)|||◆ 有高併發、高可用、分散式服務開發經驗|||◆ 優化系統性能與除錯|||◆ 負責實作並維護後端各項服務: RDBMS, REDIS, Message Queue(kafka, nats...)|||【加分項】|||◇ 熟悉 AWS、 VM 、Linux 、Docker、K8S|||◇ 使用經驗 (如 Grafana, ElasticSearch, OpenTelemetry 等)|||◇ 熟悉並實現過 CI/CD|||◇ 具備容器化相關知識|||◇ Git協作開發經驗|||◇ 熟悉軟體開發流程|||◇ 喜歡學習/研究新技術者佳|||💲具競爭力的薪資|||⏰彈性上下班時段 (9點-10點之間上班)|||😴 優於勞基法的特休假|||🎂生日假|||🛌 不補班|||週休二日、勞保健保、勞退提撥金、陪產假、產假、優於勞基法天數特休假、女性生理假、就業保險|||年終獎金/分紅、三節獎金/禮品、零食櫃咖啡吧、伙食津貼",軟體工程師,Backend 後端工程師,TWD,Monthly,120000.0,70000.0,"GOLANG,Golang,RESTful APIs,GRPC,RDBMS,REDIS,Message Queues,kafka",https://meet.jobs/zh-TW/jobs/39490-backend-%E5%BE%8C%E7%AB%AF%E5%B7%A5%E7%A8%8B%E5%B8%AB
TITANSOFT 新加坡商鈦坦科技股份有限公司,"你所追求的工作是什麼？是寫【程式】，還是打造會讓你感到驕傲的【產品】?|||在鈦坦，我們稱呼工程師為「產品開發者」（PD, Product Developer），我們不僅單純的寫【程式】把功能完成，並且考慮到效能、安全、使用性、維護成本、以及花費的資源與時間等因素所造成的影響。 在分析及評估所有影響要素後，達到客戶滿意的產出，才是我們對開發【產品】的要求！|||你一定聽過敏捷式開發，但是你真正了解什麼是敏捷式開發嗎？|||是很快速的把程式寫完？還是只是一堆似懂非懂的名詞？|||如果你／妳自認具備【熱忱】、【追求極致】、【樂於團隊合作】的特質，|||我們歡迎你／妳一起加入鈦坦科技的開發團隊|||在這個大家庭裡，你將會在專業敏捷開發顧問的協助下|||學習到敏捷式開發的精髓，並且實際運用敏捷開發的框架，與團隊一起打造極致的產品。|||我們堅信：沒有最好，只有更好！|||• 依據客戶的需求，開發並維護高效能、高安全性、使用者易用的網站應用程式。|||• 整合網站應用程式至資料庫導向或 API 導向的後台系統。|||• 提供 24x7 的技術支援。|||• 開發、改善所有軟體產品，並提供維護所需的所有必要文件。|||• Familiar in server side languages (C# .Net).|||• Familiar in ECMA Script, AJAX.|||• Familiar in Object-Oriented Language.|||• Familiar in SQL-92 databases (Microsoft SQL server).|||• Microsoft SQL Server 2012",軟體工程師,【採線上面談】Software Engineer／Programmer 軟體工程師 (台北),TWD,Monthly,70000.0,50000.0,"AJAX,ECMA,script,SQL",https://meet.jobs/zh-TW/jobs/39169-%E6%8E%A1%E7%B7%9A%E4%B8%8A%E9%9D%A2%E8%AB%87software-engineerprogrammer-%E8%BB%9F%E9%AB%94%E5%B7%A5%E7%A8%8B%E5%B8%AB-%E5%8F%B0%E5%8C%97
TITANSOFT 新加坡商鈦坦科技股份有限公司,"1. Apply statistical and machine learning techniques to build models for user classification, fraud detection and other objectives.|||2. Mine, analyze and visualize data from company databases to drive optimization and improve product development, marketing techniques and business strategies.|||3. Identify, understand and solve business problems based on the company's overall targets.|||4. Coordinate with different feature teams to implement models and design proper performance evaluation metrics.|||1. Have CRM / User Behavior / Recommendation relevant experience will be a plus.|||2. Knowledge and experience with application of a variety of machine learning techniques (clustering, decision tree, neural network, etc.).|||3. Knowledge and experience with application of advanced statistical techniques (regression, various statistical tests, etc.).|||4. Real-world ML project end-to-end experiences, including model simulation.|||5. Data pipeline processing end-to-end experiences or have related experience in cooperation with others.|||6. Five years + of data related work experience.|||7. Have mentorship experience in leading or guiding data projects/products.|||1. Proficiency in Python (must), SQL or other programming languages.|||2. Proficiency in common ML frameworks, etc., Scikit-learn, Keras, Tensorflow.|||3. Strong problem solving skills.|||4. Excellent written and verbal communication skills for coordinating across teams and with stakeholders.|||1. Emphasis on outcomes and improvements in product performance.|||2. Passion to learn and apply new technologies and techniques.|||3. Data driven.|||4. Team player.",軟體工程師,【採線上面談】Senior Data Scientist 資深資料科學家-Annual salary 2M,TWD,Annually,2000000.0,1300000.0,"python/django,SQL",https://meet.jobs/zh-TW/jobs/35096-%E6%8E%A1%E7%B7%9A%E4%B8%8A%E9%9D%A2%E8%AB%87senior-data-scientist-%E8%B3%87%E6%B7%B1%E8%B3%87%E6%96%99%E7%A7%91%E5%AD%B8%E5%AE%B6-annual-salary-2m
Splashtop Inc.,"本公司為知名外商Splashtop台北研發中心，產品為使用先進影音串流技術進行：遠端桌面搖控，一對多視訊會議及行動裝置畫面鏡射等應用。我們的產品線橫跨多平台（Windows, macOS, iOS, Android），在科技界及教育界均有高知名度（請參考: www.splashtop.com及www.mirroring360.com. 在App store/Google Play/Chrome Web Store上請搜尋”Splashtop”）。|||本公司的產品均有試用版，鼓勵有志加入者先試用並了解產品。|||工作內容及經驗需求：|||- 熟悉 Objective-C 及 Xcode 開發平台，有相關工作經驗。|||- 參與產品討論及架構設計。|||- 熟悉網路程式開發，主從式架構及影音串流技術。|||- 與測試人員充份溝通，解釋實作原理並從回饋中撰寫測試代碼。|||- 與客服人員合作解決客戶問題。|||以下條件均對工作及敍薪有加分：|||- 除iOS外，在其它平台有一定經驗，如Windows/macOS/Android/RoR等，對跨部門討論及整體架構設計均有幫助。|||- 了解使用者經驗及互動設計，熟悉iOS系統操作。|||- 有獨自開發產品經驗。|||- 曾在iOS App Store有上架app。",軟體工程師,Application Developer-iOS (iOS 研發工程師),TWD,Annually,700000.0,1500.0,,https://meet.jobs/zh-TW/jobs/28387-application-developer-ios-ios-%E7%A0%94%E7%99%BC%E5%B7%A5%E7%A8%8B%E5%B8%AB
Splashtop Inc.,"此為因應公司業務量的擴大而擴招的後端工程師職缺，|||也歡迎具備任何後端語言技能且願意了解 Ruby on Rails 的後端工程師申請，|||包括且不限於 Node.js / Go / Python / PHP / ASP.net / Java / Rust|||為了提供安全、快速、穩定的 Remote Desktop 服務給全球 800K+ 的活躍客戶，您將|||Splashtop Inc (美商浪橋科技股份有限公司 台北分公司)|||人員:|||全球 300人 US, EU, JP, SG, TW, CN|||台北 99 人 RD & QA & Sales & Support & PM & DevOps|||Cloud team:|||4 Frontend React Developers|||9 Backend Ruby-on-Rails Developers|||地點:|||捷運台北小巨蛋站旁|||時/事:|||Splashtop 三件事:",軟體工程師,Backend Developer (Ruby on Rails),TWD,Annually,700000.0,1500.0,"Ruby on Rails,RoR,Backend,Back-end,Redis,MySQL,Kubernetes,Docker (Kubernetes),AWS/EC2/ELB/S3/DynamoDB",https://meet.jobs/zh-TW/jobs/28780-backend-developer-ruby-on-rails
Splashtop Inc.,"本公司為知名外商Splashtop台北研發中心，產品為使用先進影音串流技術進行：遠端桌面搖控，一對多視訊會議及行動裝置畫面鏡射等應用。我們的產品線橫跨多平台（Windows, Mac OS, iOS, Android），在科技界及教育界均有高知名度（請參考: www.splashtop.com及www.mirroring360.com. 在App Store/Google Play上請搜尋”Splashtop”）。|||本公司的產品均有試用版，鼓勵有志加入者先試用並了解產品。|||工作內容及經驗需求：|||1. 參與產品討論及架構設計。|||2. 熟悉 C/C++ 及 Linux 開發平台，有二年以上相關工作經驗。|||3. 熟悉 Linux 社群，distribution 間的差異，以及開放原始碼運作的規則。|||4. 熟悉網路程式開發，主從式架構及影音串流技術。|||5. 與測試人員充份溝通，解釋實作原理並從回饋中撰寫測試代碼。|||6. 與客服人員合作解決客戶問題。",軟體工程師,Application Developer-Linux (Linux 研發工程師),TWD,Annually,700000.0,1800.0,,https://meet.jobs/zh-TW/jobs/28388-application-developer-linux-linux-%E7%A0%94%E7%99%BC%E5%B7%A5%E7%A8%8B%E5%B8%AB
Splashtop Inc.,"|||本公司為知名外商Splashtop台北研發中心，產品為使用先進影音串流技術進行：遠端桌面搖控，一對多視訊會議及行動裝置畫面鏡射等應用。我們的產品線橫跨多平台（Windows, macOS, iOS, Android），在科技界及教育界均有高知名度（請參考: www.splashtop.com及www.mirroring360.com. 在App store/Google Play/Chrome Web Store上請搜尋”Splashtop”）。|||目前想徵求macOS Developer一名，主要工作為開發產品線在macOS平台的版本。適合喜愛程式設計，熟悉Xcode開發環境的朋友加入，並對macOS有多年開發經驗或具有網路及影音技術背景者，提供極具吸引力的薪資待遇。|||- 除macOS外，在其它平台有一定經驗，如Windows/iOS/Android/RoR等，對跨部門討論及整體架構設計均有幫助。|||- 了解使用者經驗及互動設計，熟悉macOS系統操作。|||- 熟悉Objective-C並有開發產品經驗。|||- 曾在Mac App Store有上架app。|||▲ 本公司的產品均有試用版，鼓勵有志加入者先試用並了解產品。",軟體工程師,Application Developer-macOS (macOS 研發工程師),TWD,Annually,700000.0,1500.0,"objective-C,mac os",https://meet.jobs/zh-TW/jobs/33756-application-developer-macos-macos-%E7%A0%94%E7%99%BC%E5%B7%A5%E7%A8%8B%E5%B8%AB
